fulwgt,education_num,sex,capital_gain,capital_loss,target,education_numCat,hour_per_weekCat,Occupa_cat,ageCat,Marital Status_cat,Race_cat,WorfClass_cat,native_country_cat
77516,13,1,2174,0,0,2,1,0,1,0,1,2,1
83311,13,1,0,0,0,2,0,1,1,1,1,3,1
215646,9,1,0,0,0,1,1,0,1,0,1,1,1
234721,7,1,0,0,0,1,1,0,1,1,0,1,1
338409,13,0,0,0,0,2,1,1,0,1,0,1,0
284582,14,0,0,0,0,2,1,1,1,1,1,1,1
160187,5,0,0,0,0,0,0,0,1,1,0,1,0
209642,9,1,0,0,1,1,3,1,1,1,1,3,1
45781,14,0,14084,0,1,2,3,1,1,0,1,1,1
159449,13,1,5178,0,1,2,1,1,1,1,1,1,1
280464,10,1,0,0,1,1,2,1,1,1,0,1,1
141297,13,1,0,0,1,2,1,1,0,1,0,2,0
122272,13,0,0,0,0,2,0,0,0,0,1,1,1
205019,12,1,0,0,0,2,3,0,1,0,0,1,1
245487,4,1,0,0,0,0,3,0,1,1,0,1,0
176756,9,1,0,0,0,1,0,0,0,0,1,3,1
186824,9,1,0,0,0,1,1,0,1,0,1,1,1
28887,7,1,0,0,0,1,3,0,1,1,1,1,1
292175,14,0,0,0,1,2,3,1,1,0,1,3,1
193524,16,1,0,0,1,2,3,1,1,1,1,1,1
302146,9,0,0,0,0,1,0,0,1,0,0,1,1
76845,5,1,0,0,0,0,1,0,1,1,0,2,1
117037,7,1,0,2042,0,1,1,0,1,1,1,1,1
109015,9,0,0,0,0,1,1,0,2,0,1,1,1
216851,13,1,0,0,1,2,1,0,2,1,1,2,1
168294,9,1,0,0,0,1,1,0,0,0,1,1,1
367260,9,1,0,0,0,1,2,1,1,0,1,1,1
193366,9,1,0,0,0,1,1,0,1,1,1,1,1
190709,12,1,0,0,0,2,3,0,0,0,1,2,1
266015,10,1,0,0,0,1,3,0,0,0,0,1,1
386940,13,1,0,1408,0,2,1,1,1,0,1,1,1
59951,10,1,0,0,0,1,1,0,0,1,1,2,1
311512,10,1,0,0,0,1,0,0,0,1,0,2,1
242406,7,1,0,0,0,1,1,0,1,0,1,1,0
197200,10,1,0,0,0,1,1,0,0,0,1,1,1
544091,9,0,0,0,0,1,0,0,0,1,1,1,1
265477,12,1,0,0,0,2,1,1,1,1,1,3,1
507875,5,1,0,0,0,0,3,0,1,1,1,1,1
88506,13,1,0,0,0,2,1,1,1,1,1,3,1
172987,13,1,0,0,0,2,3,0,0,1,1,1,1
94638,9,0,0,0,0,1,1,0,1,0,1,1,1
289980,9,1,0,0,0,1,0,0,0,0,1,1,1
337895,13,1,0,0,1,2,1,1,2,1,0,2,1
144361,9,1,0,0,0,1,1,0,1,1,1,1,1
128354,14,0,0,0,0,2,1,1,1,0,1,1,1
101603,11,1,0,0,0,1,1,0,1,1,1,2,1
271466,11,1,0,0,0,1,3,1,0,0,1,1,1
32275,10,0,0,0,0,1,1,1,0,1,0,1,1
51835,15,0,0,1902,1,2,3,1,1,1,1,1,0
251585,13,1,0,0,1,2,3,1,1,0,1,2,1
109832,9,1,0,0,0,1,3,1,1,0,1,3,1
237993,10,1,0,0,1,1,1,0,1,1,1,1,1
216666,3,1,0,0,0,0,1,0,1,1,1,1,0
56352,11,1,0,0,0,1,1,0,1,1,1,1,0
147372,9,1,0,0,0,1,3,0,1,1,1,1,1
188146,9,1,5013,0,0,1,1,0,0,1,1,1,1
59496,13,1,2407,0,0,2,1,0,0,1,1,1,1
149640,9,1,0,0,0,1,1,0,1,1,1,1,1
116632,16,1,0,0,1,2,3,1,1,1,1,1,1
105598,10,1,0,0,0,1,3,0,0,0,1,1,1
155537,9,1,0,0,0,1,1,0,1,1,1,1,1
183175,10,0,0,0,0,1,1,0,0,0,1,1,1
169846,9,0,0,0,1,1,1,0,1,1,1,1,1
191681,10,1,0,0,1,1,3,1,1,1,1,3,1
101509,10,1,0,0,0,1,0,1,0,0,1,1,1
309974,13,0,0,0,0,2,1,0,1,0,0,1,1
162298,13,1,0,0,1,2,2,0,0,1,1,3,1
211678,10,1,0,0,0,1,1,0,0,0,1,1,1
124744,10,1,0,0,0,1,0,1,2,1,1,1,1
213921,9,1,0,0,0,1,1,0,0,0,1,1,0
32214,12,1,0,0,0,2,1,0,1,1,1,1,1
309634,7,0,0,0,0,1,0,0,0,0,1,1,1
125927,4,1,0,0,0,0,1,0,1,1,1,2,1
446839,9,1,0,0,0,1,0,0,0,0,1,1,1
276515,13,1,0,0,0,2,1,0,1,1,1,1,0
51618,9,0,0,0,0,1,1,0,1,1,1,1,1
159937,9,1,0,0,0,1,3,0,2,1,1,1,1
343591,9,0,14344,0,1,1,1,0,1,0,1,1,1
346253,9,0,0,0,0,1,0,0,1,0,1,1,1
268234,9,1,0,0,1,1,1,0,1,1,1,2,1
202051,14,1,0,0,0,2,3,1,1,1,1,1,1
54334,5,1,0,0,0,0,1,0,0,0,1,1,1
410867,16,0,0,0,1,2,3,1,1,0,1,2,1
249977,11,1,0,0,0,1,1,1,2,1,1,1,1
286730,10,0,0,0,0,1,1,0,1,0,1,1,1
212563,10,0,0,0,0,1,0,0,0,0,0,1,1
226296,13,1,0,0,1,2,1,0,1,1,1,2,1
115585,10,1,0,0,0,1,3,0,0,0,1,2,1
191277,16,1,0,1902,1,2,3,1,1,1,1,3,1
202683,10,1,0,0,1,1,3,0,1,1,1,1,1
171095,12,0,0,0,0,2,1,1,1,0,1,1,0
249409,9,1,0,0,0,1,1,0,1,0,0,2,1
124191,14,1,0,0,1,2,1,1,2,1,1,1,1
198282,13,1,15024,0,1,2,3,1,1,1,1,1,1
149116,14,0,0,0,0,2,3,1,1,0,1,3,1
188300,10,0,0,0,0,1,1,0,0,0,1,1,1
103432,9,1,0,0,0,1,1,0,0,0,1,1,1
317660,9,1,7688,0,1,1,1,0,1,1,1,3,1
194901,7,1,0,0,0,1,1,0,0,0,1,1,1
189265,9,0,0,0,0,1,1,0,1,0,1,2,1
124692,9,1,0,0,0,1,1,0,1,1,1,1,1
432376,13,1,0,0,0,2,1,0,0,0,1,1,1
65324,15,1,0,0,1,2,1,1,1,1,1,1,1
335605,9,1,0,1887,1,1,3,0,2,1,1,3,0
377869,10,0,4064,0,0,1,0,0,0,1,1,1,1
102864,9,0,0,0,0,1,1,0,1,0,1,1,1
95647,5,1,0,0,0,0,3,0,1,1,1,1,1
303090,10,1,0,0,0,1,3,0,2,1,1,3,1
197371,11,1,0,0,1,1,1,0,1,1,0,2,1
247552,10,1,0,0,0,1,3,0,1,1,1,1,1
102632,9,1,0,0,0,1,3,0,0,0,1,1,1
199915,10,0,0,0,0,1,1,0,0,0,1,1,1
118853,13,1,0,0,0,2,3,1,1,1,1,1,1
77143,13,1,0,0,0,2,1,1,0,0,0,1,0
267989,13,1,0,0,1,2,3,1,0,1,1,2,1
301606,10,1,0,0,0,1,0,0,0,0,0,1,1
287828,13,0,0,0,1,2,1,1,1,1,1,1,1
111697,10,0,0,1719,0,1,0,0,0,0,1,1,1
114937,12,1,0,0,1,2,1,0,1,1,1,1,1
365739,10,1,0,0,0,1,1,0,1,0,1,1,1
69621,12,0,0,0,0,2,3,0,0,0,1,1,1
43323,9,0,0,1762,0,1,1,0,0,0,1,1,1
120985,9,1,4386,0,0,1,0,0,1,1,1,3,1
254202,13,1,0,0,0,2,3,0,1,1,1,1,1
146195,12,0,0,0,0,2,1,0,1,0,0,1,1
125933,14,1,0,0,1,2,1,1,1,1,1,2,0
